"AÑO","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","Ocup","Sexo","NiveEdu","FreqPag","Ingreso","HorasTrabj"
"2023","01","005030","002","11","01","010201","Selva",4,4,"Hombre",7,4,1800,28
"2023","01","005030","037","11","01","010201","Selva",4,3,"Hombre",7,4,1900,45
"2023","01","005030","056","11","01","010201","Selva",4,3,"Mujer",9,4,2100,0
"2023","01","005030","060","11","04","010201","Selva",4,4,"Mujer",5,4,650,93
"2023","01","005138","025","11","02","010513","Sierra",7,3,"Mujer",3,4,50,40
"2023","01","005257","007","11","02","020101","Sierra",3,3,"Hombre",9,4,1500,40
"2023","01","005257","007","11","03","020101","Sierra",3,3,"Hombre",9,4,1025,40
"2023","01","005257","007","11","04","020101","Sierra",3,3,"Mujer",9,4,1430,48
"2023","01","005257","039","11","02","020101","Sierra",3,3,"Mujer",9,4,2200,0
"2023","01","005257","061","11","02","020101","Sierra",3,3,"Hombre",7,4,780,6
"2023","01","005257","080","11","02","020101","Sierra",3,3,"Hombre",10,4,336,10
"2023","01","005257","080","11","03","020101","Sierra",3,3,"Hombre",9,4,1800,44
"2023","01","005480","006","11","02","040104","Sierra",1,4,"Hombre",5,4,2100,30
"2023","01","005480","021","11","01","040104","Sierra",1,4,"Mujer",3,4,1200,48
"2023","01","005480","021","11","04","040104","Sierra",1,4,"Hombre",7,4,1850,36
"2023","01","005480","051","11","02","040104","Sierra",1,4,"Mujer",5,4,1100,53
"2023","01","005480","079","11","01","040104","Sierra",1,4,"Hombre",5,4,1025,50
"2023","01","005511","013","11","01","040103","Sierra",1,4,"Hombre",6,4,2200,0
"2023","01","005511","032","11","05","040103","Sierra",1,3,"Mujer",9,4,400,10
"2023","01","005511","032","11","06","040103","Sierra",1,3,"Mujer",9,4,1300,45
"2023","01","005511","032","11","07","040103","Sierra",1,4,"Hombre",8,4,1050,42
"2023","01","005511","048","11","04","040103","Sierra",1,3,"Hombre",9,4,1000,36
"2023","01","005511","065","11","01","040103","Sierra",1,4,"Hombre",5,4,1730,84
"2023","01","005511","097","11","01","040103","Sierra",1,4,"Mujer",2,4,1000,48
"2023","01","005511","142","11","01","040103","Sierra",1,3,"Hombre",7,4,2500,72
